更新时间,#genre#
7-26 18:00:00_F1比利时站_F1比利时大奖赛冲刺赛_圈速信息,http://one.loiey.top:55488/txsport/100360:2100088/341719/1387709500.m3u8?txtoken=cc78e4563acbff6d7acbfbeb65826271f62e1615c5fcb4df4ce47c45f9d965a116228e26205fb8a4b444581ff43dc7ff7bad7a81ee26076ea751a1e872e18d91bf2249f875d1dec7c468d598b50e607915701c40903bedac15bc81b57062c7575e2872051a0616a62b46921f9b5c153614a1ed9a50688cf7a1529295a8
7-26 19:30:00_女篮非洲杯C组小组赛_几内亚 vs 塞内加尔,http://one.loiey.top:55488/txsport/160009:127706/341775/1387724100.m3u8?txtoken=43d6bede1ce1274b05d07e10f71daedb1963f635cd2a47a5e620586bb361a715e63efda5722cfd4a57d7317d3827e7d5b075bc2e6477fb338a7efb354b8e76369d6b5b30a319ac012e132c20a5d37d34e637164478f21f42e5140c9806446a290c4d881e035ecaf697b729d32e7685e2297212be8546b0a61162ae8cc2
「男篮亚洲杯」23:50 1/4决赛 新西兰vs黎巴嫩 连睿,https://tv-1.iill.top/Migu/MQjOUr
7-26 18:00:00_F1比利时站_F1比利时大奖赛冲刺赛_车载镜头,http://one.loiey.top:55488/txsport/100360:2100088/341719/1772393900.m3u8?txtoken=29460f9c2dd80a65b08832771804963725c78544cf95048c7213dfddc7458af21d9c53da6931f247bdcdde188282b000f85058c161b7353fae40975b65b7c06fe6c9fc2cd6ece8a541c3aac0676d9a14531364221494e98888cdc639967cd9df8d182a44944355505cf1b3d60b535ca4966e0b8b5ccfcc6b613b25ee4a
「男篮亚洲杯」23:50 1/4决赛 新西兰vs黎巴嫩 现场原声,https://tv-1.iill.top/Migu/WqCtXr
7-26 18:00:00_F1比利时站_F1比利时大奖赛冲刺赛_车手位置,http://one.loiey.top:55488/txsport/100360:2100088/341719/1772394000.m3u8?txtoken=9bc9b676d42d72ccc31ebce08762e01cb3183c47ac8642be9da4d6212337c50cf535e204ca32af92205a9eec8c2c6df63c0837b629e7a8fde9e11fee68c47e0cf84bfc766fd2a1de5eb023c5da7a96f31bea74aec4ee2150853e8d7b87b9fb3a268523625d4e55f58a5b29e5c043a2a631efcb3fc0ec3173e33a8b909a
7-26 18:00:00_F1比利时站_F1比利时大奖赛冲刺赛_维修区,http://one.loiey.top:55488/txsport/100360:2100088/341719/1772394100.m3u8?txtoken=69d48b2d176316a3410e2ed023cccf37aaa2f82257d67158d4f46b0a7e4e7483f4a179591ccce9caadf1179b9776b5943aa4a909c3d4923ce3d6e918e2f55517274d03d2907545b44ac861fe484b5659e4d219c0f08bb296504b08df3fbbdc565824a25cffb67af5f8e014ed69424d35cfa58102895420212fccdd2838
7-26 18:30:00_2025乒超联赛第二阶段_乒超第二日男团：山东vs安徽,http://one.loiey.top:55488/txsport/100002:20255532/343185/1388713400.m3u8?txtoken=ee5b9e0a899f433bbbfa8ca45f013a7d9d712b6a5ffa23987e9669f527dd9c654d73f7b0f13b73248bf7eba00bee6fbd0b5db4ee96e8e27eb90253a2f5141f69756a6ad8ffbf8b2ff0550225497e2c1e18db16e3afe16caea34f6c8685d8662af8c5e72cb3d34161140014b7f89f63ab80cb4276979ccce6e962e03f92
7-26 22:30:00_女篮非洲杯D组小组赛_卢旺达 vs 尼日利亚,http://one.loiey.top:55488/txsport/160009:127709/341776/1387724200.m3u8?txtoken=02d79b1d2e66721aae050468bb52823aadf48871a7cd8d7a2877bd6ab3ff9dd34144582acbd67c278cb8269b4063be157fc5299c3305fa22d957e67de0685a7d3d2b95d313c3b90ea6e89a93af9bc5f69980f2c057017bc408d53dda572a5e1ae1744a210da0132d8cb53372c9c863169eafe8d3e67fcecd83d36558f2
7-26 20:05:00_WTA250布拉格站决赛_布兹科娃 vs 诺斯科娃,http://one.loiey.top:55488/txsport/100308:22729/343016/1388029500.m3u8?txtoken=e368cb97fddf5755159aefe15fe54bff997cef586a9a214e6d2f5acc2499c0e02fd878653bf04b4c7ab817c8f997633511c42fbbc9d5bf9065324fbca306a241eb1adf6f48aaddb340fbf2847330e605623e22f306454d15264c9e586d776f6c9bacc8bdf8f0d413474cd1b1c6c8c90e2519cb3538cc051e4388f8cb92
7-26 19:30:00_全国U21青年篮球锦标赛_全国U21青年篮球锦标赛 天津荣钢 VS 北京首钢,http://one.loiey.top:55488/txsport/100002:20255468/342948/1772687100.m3u8?txtoken=2d29657d598e0e6e5db8df677deb7c1ae35d1cdafe56884a23e57fb7763006e4b9ddfb5e244b1275ea5b7700e22f1b67d8912c080e1feb6e3f34a5d681f182a3e9b06acc20e7308e0147b96a1a3b43e8c80759230ac10e52d81c94e6b10cddbc9bdd28b90e1bd780df96c80ab5108549fdc15faa4e975d141eca815052
7-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_维修区,http://one.loiey.top:55488/txsport/100360:2100186/341722/1772394600.m3u8?txtoken=5720c35b99a36397c0f3e76e57f9261bc6d803e8c62ad06852100ee9e49e2b718d68e8ba9265802c37a93a4f3949c33c37a049632b89f3ba1b0993abb51bbe5e460555493f54616626f3ac251648047fab93400a2df659a050dc43c895fd0812ecd6373c65ecb4a80ef67e920547271e05e7e1f8d7577732ef69a20c54
7-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_刘耀,http://one.loiey.top:55488/txsport/100360:2100186/341722/1772394400.m3u8?txtoken=825b674bbcc9177ddcbc321a85a37f76bae340d34691f6cdce35a0881195269ec9f2e2568650335cca2de5c041485bf0ec7f13a3d7e8f2a1be995e750984e02e2b5100762b9ef138dc4b7190ebedabb6644d68a13b349dda441e76bcf39c90c685e0513fbe849a08810a785819f7bf9a9fc851b396a33570898a59bf32
7-26 20:00:00_全国U21青年篮球锦标赛_全国U21青年篮球锦标赛 苏科雄狮 VS 黑龙江男青,http://one.loiey.top:55488/txsport/100002:20255454/342925/1772686200.m3u8?txtoken=32e8721127da2b5ea0e44ea0d3075f56db2efc355c0e07c6210296d9e749c3ff251c019f6a901701c3f6249600abffd34f117997b47852bc45113cca6ce8eb09de87668a4febbc14bdf3f204410ce4e13f96b66411ca0b6acea8aecc32c59af2d9c210fb978b2651f93cd82515189ea4dee98579dbb2d450d13f55ec4b
7-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_圈速信息,http://one.loiey.top:55488/txsport/100360:2100186/341722/1387709800.m3u8?txtoken=932132d593b83a44f05730380590302bf04ff904c510514378198317aa1d96d814a85f8beb69c3fb37c5437a2ccdfd989350e86effa4a032bcbb4a5a2d909a1938d30a6f12966ebb4bd87607577c78f2f2aa771bfebdf1584ae31696042499902e21fc61182cd40de49117bef3d8e25e96879cfc998a24c8d87d6a7c78
7-26 18:30:00_2025乒超联赛第二阶段_乒超第二日女团：安徽vs华南理工大学 王艺迪出战,http://one.loiey.top:55488/txsport/100002:20255533/343186/1388713500.m3u8?txtoken=1ea740bdc202d6371f5f9157635b6aaf13ee0404d6056986e22ac00fdfb508b9c2510bd72b75c1ff528b45e5a6b590e6b4527be60f86a0a72f5ca990bdd2234c49feb33ef707803d06a2aea447112c435ffec93e0201af2632e5336ac8dd676232d5437e49850d745af0ee11d194507e899de2f0569e13496f042bcd4a
7-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_车载镜头,http://one.loiey.top:55488/txsport/100360:2100186/341722/1387709700.m3u8?txtoken=7aa87d8d02aeb9947f243d9adabea54ce18ba46643e32bd9b2a0eb0d8a4bf588af6edde41e3e7ae0770c41ca654623271c0905e87659e6aba4b039aeb81228577785ff688123a96a635469f16465068b1630d5a4af3efbf7666ca878837933b9edb47bfd95ffc514e8ce6152cd19a30376d20e984657e8d7356dd4b7d4
7-26 20:05:00_WTA250布拉格站决赛_布兹科娃 vs 诺斯科娃_赛场原声,http://one.loiey.top:55488/txsport/100308:22729/343016/1772697200.m3u8?txtoken=50dbd99e481783b3da914a7bef4b1d5e5ec2dfbbe9979f0fefaa428eac45e81027800d0f9a571c8c5f6a2a928719a9a1098c6ef84d52d833c26a6aa3bd3b40156f7a90d41a02f2f1beee468c61e17c6d32e9df5383a937d099f0e9314a7fde4b0833714ce0b50ac5dd9571ef5fcbd1d387278664989134e1af7f9d9fb7
7-27 05:30:00_女篮非洲杯B组小组赛_南苏丹共和国 vs 马里,http://one.loiey.top:55488/txsport/160009:127703/341778/1772407300.m3u8?txtoken=4f406b3713f68dacf1fa5f5f8be74b5d8de7059f1def53be98051bdcda0ba52f563bb2b45a90c8c0aabf6cea8e9a3b65a6f83b82e1d8054982c573830adf985ea3c0bd674130927fcffde3dc3866e0c39df5d45b56054b078505b038f55bf5c9d9b42232004a93590e79423e07e05c0bf55394e45e21c5430718ed21d9
7-27 02:30:00_女篮非洲杯A组小组赛_埃及 vs 科特迪瓦,http://one.loiey.top:55488/txsport/160009:127700/341777/1387724500.m3u8?txtoken=3718a79658bb61bccfac4bfee2e87c5550fb9fa0d37b42fd87022edb405155e19431808d488d906e09d984d39de13cb872f618e35e0b5a9d12dfc68a762bc8c3821f13ca9e264d94392a45cd7e3a411dc43b01c76346be59745d2b97e3d399f19c59e2d2c99387be9b6473b24113798966e3dd7b1ed62783e5acf97bf8
7-27 02:30:00_WTA500华盛顿站半决赛_莱巴金娜 vs 费尔南德斯_赛场原声,http://one.loiey.top:55488/txsport/100308:22823/343010/1772697500.m3u8?txtoken=43004b4b2b86a8d4155945caef53d2d54703f4153d170093a4290a951954e9b03540efb8f8ce1b8281d13b6cd711727a7839f8c021b0867b85b56ded9b26541dc1b7cc427ec746fdcec19be11e2c89b5c43d048a5c7bea93a01691e55ae38e61a1769bc646f46695f57e0b66c65212eb2e29368585da9229d7ad17de05
7-26 18:00:00_F1比利时站_F1比利时大奖赛冲刺赛_刘耀,http://one.loiey.top:55488/txsport/100360:2100088/341719/1387709400.m3u8?txtoken=2535bac6618f8badd9792c623dc4267b3df7f6e83fd18e0d63e1f3045efad0023ec13f1fd5a9e6561db6be3e7921ad16a7a22c4fbc02ec2c10090c91db614087fd9945f382813728ece47078950d30367a688dcc0bb83274dcdc9648809a47cb186bf4abc7d565ada48bd762c17820a8ee0b2d51e54ae0b3340a02c777
7-27 04:30:00_WTA500华盛顿站半决赛_拉杜卡努 vs 卡林斯卡娅_英文解说,http://one.loiey.top:55488/txsport/100308:22822/343011/1773396000.m3u8?txtoken=b63c3862b033e65515ee1c00f5bd3772f9facdc8c1f5f234982db659f1a590620ac72f21358203b8ea3ad3ba9d9a8e99ed3bedd7045a2d80265279293b5b87ad9ec87e8380721b502c5aa1640338a8f316d8aa5fef63bcb7e0182187526fd22d0504c9f350ef3b5e53801f8610212197db10d939bb1f3e2bc7cd2660f0
7-27 10:30:00_2025乒超联赛第二阶段_乒超第三日男团：汕头vs上海,http://one.loiey.top:55488/txsport/100002:20255543/343314/1773423500.m3u8?txtoken=6db29ecba0832c2f8c089d235721101676ce29fb8b66999934c9d4e9ee0f3a0d0eff01d49f3ce50d8eb9e107dbc43710b673cd71bce352ecf3b14f0c0b8d6184e7a3bf1a9f8ab87e481a71061ebf674f185e8eefe2d49b5a6dc07cb61e105e50c0abd0dff9b8eb81d6cea5488fe8bd0cc1c00a05184056250ea809ae0d
7-27 10:30:00_2025乒超联赛第二阶段_乒超第三日男团：山东vs安徽,http://one.loiey.top:55488/txsport/100002:20255544/343315/1773423600.m3u8?txtoken=bd4f8c20db8da13879b0f1360a0be163150a65af913f22836c058a30ae5fbda381d1177ebff84538b8d91f72eb80063966e0dbe7853c1a88032169ed21d41dd8cc04e8a8eecdb740b6c931a968f71e6b7d5d2c2d33fca45a4e5697d3eeffc8c49116c6190cb1177b6b4ee13d3bbd3853e0facd86a8036fe1d6850c44a3
7-27 07:00:00_WNBA常规赛_纽约自由人 vs 洛杉矶火花_英文原声,http://one.loiey.top:55488/txsport/100020:11022500159/342605/1772602400.m3u8?txtoken=e4f7c33843c627c632d0880f4fc17a1a37ae91e900a6c1485d1959a2d0ff05fa5e0695a4b2a40fc0d94a4fbff4bec2c6f95d8cd774ebad1ae459c86d722a819b3cd76dee5b14673294331c966358fb8d83fe4d18eb2b6a2d657c7452e53596414956df31547820059db2314848b2dff76ef66a1b212a84f220bc03beab
7-27 07:00:00_WNBA常规赛_纽约自由人 vs 洛杉矶火花_石楷文,http://one.loiey.top:55488/txsport/100020:11022500159/342605/1772602300.m3u8?txtoken=5ac8cf5e5579c7a6d7d84e9b1bf6fd988507e0cfe8e24655c7299f77ed1874cb4bd83774ed1348c5278b653d5088b024bbdaed4d39ca29508a0e6373722bc5537deb0a2c0d2a739acb7488f51df373e9e999809b6a504eaa900da75670b15adea68260d7e3632c4a26406cc66f0262fecaf70fd155e7f9253509ff3c19
7-27 02:30:00_WTA500华盛顿站半决赛_莱巴金娜 vs 费尔南德斯_邱超,http://one.loiey.top:55488/txsport/100308:22823/343010/1772697400.m3u8?txtoken=141cc17e428b697e3232f4114e096554206ef39135b08bbadec968304cf95a7e92b3fd817ea6bc05eeaff090465d98ab3f1077044e28d49c548ad6d96ee241e91c25cfd942bde3a81fd98fcf58f34fde8d6799e28cd0be2f0b18b49463ddc92856a43c7bdfacabcd850537235e64448174161f80287ad5d6643bbe8bc9
7-26 22:00:00_F1比利时站_F1比利时大奖赛排位赛_车手位置,http://one.loiey.top:55488/txsport/100360:2100186/341722/1772394500.m3u8?txtoken=9c8bc8419482fd02e01a5f96747270d030df17a22487575074d7287f600cc44a8b90f98b439f99378b67daca3c29e20da5d189e4388c082aa8fb8bdbeada9cb1f3356e478c0b2b48afc50fa7529d576362b2a1c38f6b2a6e4598940ed096a9f31ab26801782f276da658f3c755dbca71011c4bd662397273a1535294e8
7-27 07:30:00_WNBA常规赛_华盛顿神秘人 vs 西雅图风暴,http://one.loiey.top:55488/txsport/100020:11022500160/342606/1772603800.m3u8?txtoken=b4d68255c27400ac88f2c24573f1dc3ccc89eddefb514e957855aaf93da1ee40b0a9a4f94e5035501fc6d42be54e68423002e0e7008d8d7705a362121cc67f4aa29540f5c23110afa632b4d11fa86f0c40de7bb9e58c924d6972b4e6c066f5282c4ca28c686b92b95e9292e1e366556b67647fc56a717d5e980b52aef0
7-27 04:30:00_WTA500华盛顿站半决赛_拉杜卡努 vs 卡林斯卡娅_赛场原声,http://one.loiey.top:55488/txsport/100308:22822/343011/1388029800.m3u8?txtoken=18d45459f7d9de1d9f209601f9cd9808f74497e6e29179c09d0823925be00239ad85b58cf3ddc2379a74bf981c7b1f657f65fb14782d9736ba74c5303ab575b109e8e5d452543e0eb87020e0cb60dcd0c2bdf9ec5ae2519e93017a60f39903d43de329ed49d13a125148466891966247f0167845786c914fa288ab3a74
7-27 04:30:00_WTA500华盛顿站半决赛_拉杜卡努 vs 卡林斯卡娅_邱超,http://one.loiey.top:55488/txsport/100308:22822/343011/1388029700.m3u8?txtoken=8b730a32590c73e44352773aa525fd195a22e6ca129f7aadb93e87edb37f5c3d30e22d3cc47e4c1fc52c595f3160361d97ef45f4a6204025f71d0890b19859295f8ad0c3a2fad9d354b8492397b8940682298b7bcaa702ebda38be804de36ee1a29c03d7385b406a514090fcd8d61f8c24d8496b64e7dc9cd89f3d5210
7-27 02:30:00_WTA500华盛顿站半决赛_莱巴金娜 vs 费尔南德斯_英文解说,http://one.loiey.top:55488/txsport/100308:22823/343010/1388709800.m3u8?txtoken=1c07b2e477104a58e6cc217c17ee875df5bd65bd390decd9362341dd48c421f80b0d26e314f334811e2aa545b00c59a28ce1a8555c7140c7976486c252d8e291009dbc61f6aa355011b739207d11cbbf9294e508278f77e32b269c81f72ee09cbabdcef260c0c15bebf2e2d665b3b00b22e6bf2393dce667383643c5d5
7-27 08:00:00_WTA500华盛顿站决赛_待定 vs 待定_英文解说,http://one.loiey.top:55488/txsport/100308:22821/343012/1388709900.m3u8?txtoken=7e6b1c61e4a1c2ba33e96eab1766777eebf483a56ed72b6822cb690677c53308c60def56fb441ab64a3897ab05acf11380e5503fa57019225dcc3fe372fb09789d687d40d5b69cfe5df2fda86413e64b6cd07f0db8b9ca65db6e5bdfea590dac8284b2bd69d3b726599e94f1b113197b8fa051a8e5fce2f225c4e69a0c
7-27 08:00:00_WTA500华盛顿站决赛_待定 vs 待定_赛场原声,http://one.loiey.top:55488/txsport/100308:22821/343012/1388030100.m3u8?txtoken=861363e95b11068793f1eb1c801a027696aed7adc588f9f3199699283f31b4d4c9431e693ab899f1745e6a540a7e2b764f0fe2c9eb1e2f0f02d7c3938395a23a4593c18f031fc080e528c41f99ed909d98922e57bf10c3e887f90c91fa9685a0703830645a53736779ed7c362301901b0b62580605e72117d1e32c1c45
7-27 10:30:00_2025乒超联赛第二阶段_乒超第三日女团：华东理工大学vs成都,http://one.loiey.top:55488/txsport/100002:20255545/343316/1773423900.m3u8?txtoken=daf5a9a673dac77e5c01ddb6bfbcaa7cf174afc7aa893ce1c655bbad96a092cd1c51aab27a09fe2bca7ee9ad6114bfe915bed1c8a277407cd04ef7b045d667cef45ff7ce540c08fb70d742d3c86082c103986eda1124093e0c60d783a7f2dd2bbcc49db0f546e902926ac89149014abaa01f57eae55e826bbe707fb58b
7-27 17:00:00_赛车_FE电动方程式世界锦标赛伦敦站第二回合练习赛,http://one.loiey.top:55488/txsport/100002:20255196/341728/1387710800.m3u8?txtoken=4e972d207a8d3b4e95f834911eef612f3a800865eb0601949c6dac2d7289d077bc5025721eacdb93cfa8930e1132ed8091d8cbd66cd59f4c8ffb1daf8b5a11c08e7e6f6580c46842628908f83e5f4c57e9843b6bb1f46bfeed9243edbc8c00cc29c8e0329f8a0f1f1331b9bd61c0b101fb4af9264221877d5d7097daf9
7-27 10:30:00_2025乒超联赛第二阶段_乒超第三日男团：黄石vs先锋乒羽,http://one.loiey.top:55488/txsport/100002:20255546/343317/1773424000.m3u8?txtoken=f68447c4328c5de9565e0c06a65c89ae684b66e1adb3af2508d3a9b2f815f71f86592d9dbf0792657c3b6bb35833a4482952384adb5c0d96904c11a42ef07c47d8ccaf1354cae8d1dd77a1c5cc059c7ba3a5deaa7d2dcacacfbfcc9cf867b13787642ae2e90cbc6e30d05908d80bcc215654ac8d6130cb0a3a0f89a58c
7-27 14:00:00_NBA经典赛_NBA历史精彩回顾：杜兰特狂砍49分率队完成惊天逆转,http://one.loiey.top:55488/txsport/100002:20255479/342997/1772694600.m3u8?txtoken=4ac6ec8ff6424ec87739ac79a3435a08a80c88ecee966d0f940669d82eaaf7a72dc508cc7ba5885a76613a1ac0d5fda4a64d983ddcc13961ce5c409abae13a880e34adaf9d0bcaffa5e4571dca349e760a9a4695f90041b408812c07c60f06530f832366f8732a7f82a0accec281c378e5de8f54030c382dbfc1a145af
7-27 18:00:00_NBA经典赛_NBA历史精彩回顾：利拉德天王山一战封神狂砍55分,http://one.loiey.top:55488/txsport/100002:20255481/342999/1772694700.m3u8?txtoken=a5908528370ecb4625f0816f4ff44ae271621f9dbca238011491592b10cfcde3e0353b82dfb02fc26f18f77f79c3a9e8a93096de4e74d64233914d5a857a9a35648c16aa8a86b856dec2be42e9e4bc3cffec3ce8940b6e55498f1eda3b2f730c0e0fe04b73f35a11aa0595f51eb9b3480515994d4a1f61bf18b571e5e1
7-27 16:00:00_NBA经典赛_NBA历史精彩回顾：湖人拿下总冠军詹姆斯生涯第四冠,http://one.loiey.top:55488/txsport/100002:20255480/342998/1388026900.m3u8?txtoken=48a29c704d5d093596947983ebd4ed1f036877264de496946eac22342a00a6004134e3a3aeca0359e16964e820e844aacbbc2195776c99155f10678ca3d51ff11674c0ad75cbdfcb642fb6edb0cb1dcee88ec07e8e8b23e19d11df82242cca03ccddb250d6c396f176eb8e1b420b7c1a10dee125e70eef76235270edc6
7-27 08:00:00_WTA500华盛顿站决赛_待定 vs 待定,http://one.loiey.top:55488/txsport/100308:22821/343012/1772697800.m3u8?txtoken=be94958b732c81f74d341ca86d234e0eca6f69936ea9e992fcf9054b67c4da1f955b11b8794c2b897c7c0703dcc7c7dcdfdde58ed49b3fef50e1b28596985f410e72e2d45d5eecf303dd559e491f67fddae38184af2a5ea0982fe33bf8555911c73029318212de2d07056f091c9f5e4c7d18c1a71b633be7258035bfe7
7-27 18:30:00_2025乒超联赛第二阶段_乒超第三日男团：上海vs山东,http://one.loiey.top:55488/txsport/100002:20255548/343319/1388741000.m3u8?txtoken=6fbb56969dc78747457271ff91c60c532122f01649e89a9cf31ef9571da0708ec40c95f6c0e4d356da24b1a9ed269daedb8b80ac720314e77651b365557ff86d1955eade410e34ae56ef0155514bf864be48c43f4458670f85b80bed680f7bba2808c2cabb1f5d4105f3e02f44138f58e073e47448b7a0d325e0f86be2
7-27 18:30:00_2025乒超联赛第二阶段_乒超第三日男团：汕头vs四川,http://one.loiey.top:55488/txsport/100002:20255547/343318/1773424100.m3u8?txtoken=4a28e72c1925e58b8aaada5137bd03cc5432e124d4536984bbf6a1cbec68169c0dd0d844764dadbff84a4e16f440f03daa57cfbff58db28e47e08a0299d9f83ff04ed6cad5163b0152cdce94c2d0cede530a42b07fc7d3e896dd55e43f51e0ee9da2ab608ab59186143baedaa90ae39b673cc78d8d4affa4da957238ad
7-27 19:30:00_全国U21青年篮球锦标赛_全国U21青年篮球锦标赛 南京同曦 VS 上海久事,http://one.loiey.top:55488/txsport/100002:20255469/342949/1388017100.m3u8?txtoken=3979849caeeb1ebed8d8a1ffef1d3b4106dbeb5b9eec27d137978a2bce062f3445273cb197d7560bf2f3ff89cbb9014b799f0e52e65569668b71cb31ee27c9c91362beeca510e5b5d13a150a74034fe73243f924bdc8b7c51769a3e8412f4d0ebb61d237a92a9a245b0050b6ce0296d793263c73bfd5e35261e3757227
咪视通-2,http://3501776.xyz:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
7-27 18:30:00_2025乒超联赛第二阶段_乒超第三日女团：黄石vs华东理工大学,http://one.loiey.top:55488/txsport/100002:20255551/343322/1388741200.m3u8?txtoken=ab34fafc5722a3cbd81857e95109c64bcb0e7f4607f3d74754a0525d86544d29d2fed9d8e094c8bad2c0b7f3622e3413a89c13cdc5bdb6edc4bb65b88975d3f128928cf9fab853c56533e69b11a0008f97b24e73f9f1483170ccaa359739f1ca17ba566768f7d9a93a5d03b47ee4a4ad1b92bee8cf61fa909b215e8c6d
7-27 20:00:00_NBA经典赛_NBA历史精彩回顾：詹姆斯季后赛双20+战灰熊,http://one.loiey.top:55488/txsport/100002:20255482/343000/1388027000.m3u8?txtoken=9519a03487219f74b454de0637330a323980375f1698077ca16359f514288cc39ba575f55ab90adb4026d93eca97ab9430181ea9bc7e46cbf7996320aef2d40a2fcf7cb4fe70e38072ea1ff4b38deaa29846ade01ebb82bf26af864facf74c3c829400d1a0dba715ce29f9d4bbec5607d4ad09aec6f0762473b633f7f8
咪视通-4,http://3501776.xyz:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪视通-5,http://3501776.xyz:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪视通-3,http://3501776.xyz:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪视通-1,http://3501776.xyz:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪视通-7,http://3501776.xyz:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪视通-6,http://3501776.xyz:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
7-27 19:20:00_赛车_FE电动方程式世界锦标赛伦敦站第二回合排位赛,http://one.loiey.top:55488/txsport/100002:20255197/341729/1772396400.m3u8?txtoken=37b3d3fb3b0e85bc373473b49b946ef5675c576f9bb8e51fadc5c5c4a7e3f3b334fe2b65f22ef39f7dd3a6f8a4ed6bf639dbad9c463cca89d02897b5e530ab297cb53fee91fa806616a098725dc09f0323a1177a5f8d956bf4586395818fa78ade31eea97d1b8c5f3389914fc61785244c2ad62ad5d51fe5cd84f8fa1b
7-27 20:00:00_全国U21青年篮球锦标赛_全国U21青年篮球锦标赛 广东宏远 VS 苏科雄狮,http://one.loiey.top:55488/txsport/100002:20255455/342926/1388015100.m3u8?txtoken=5ec665e4e1d2b1a96c1fd0ccff50b33e4a98f753609ac5e2a7a7406cce6c4bad1e6ba24de5601f779d557cfb5d1d6697ec29f628c3777cab9c9026eb23093f0e8a9535e1f8ddd78d6eed837e61a9457c429059987a3605f7265abb35d95199f5924775df3c2aeb99ae80c9e8fdf9f71240ba67d1445172c5ca0e491b4e
7-27 18:30:00_2025乒超联赛第二阶段_乒超第三日男团：先锋乒羽vs江苏,http://one.loiey.top:55488/txsport/100002:20255549/343320/1773424900.m3u8?txtoken=a877e752e054bb5eefa927f6202291f500ec47ba68bf170ae81835cfe6dc8ca5b61c5d701c7ce3a29dee15482c02bdbb1cda7219a599f51e2c4df19e826a8ae2e36673fe7b0bacb7b4f79cdf27c6fdf3cd8757f6ba857dae875ab3d49c2982762406457abc2783bb4ad567eb8698da292372544bc593040dcd45bd6aaa
咪视通-8,http://3501776.xyz:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
7-27 18:30:00_2025乒超联赛第二阶段_乒超第三日女团：山东vs上海,http://one.loiey.top:55488/txsport/100002:20255550/343321/1388741100.m3u8?txtoken=a55a7f100abf55853c8777c0a7378ed35c7ffc034cd50dc0c68b357c754167eee687dae45ebd25b14efd5e138a15ba61bca0995e27e2ea63cb32520fb6b852a4148957a5ee463f6e409e37b26cee89a221d6c3bbd47af15f21103ae7fc6f5d973b380fbda3a12d788889dc5677d58d14a6eb61a8c03342faba54fea79a
咪视通-9,http://3501776.xyz:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
7-28 02:00:00_女篮非洲杯D组小组赛_莫桑比克 vs 卢旺达,http://one.loiey.top:55488/txsport/160009:127710/341782/1387724700.m3u8?txtoken=f0a405b1f7121360c57450eff0dda0000d084a74d074c8e943e33374f8a45f92f73fb575f350c47191e0c35e6a7c6c0a87e4c04393ee3eeb6d24a67ab01a48cffd7494edf5e3b208935b2dabfcd78fbb643be016e43b402a66ef9468d20ab4224a344610f36d8c5bb037b77c3b6ce5b6f3756ef19e24ae95ad2845bcbe
7-28 00:00:00_赛车_FE电动方程式世界锦标赛伦敦站第二回合正赛,http://one.loiey.top:55488/txsport/100002:20255198/341730/1772396500.m3u8?txtoken=e811b50e7ef17202b68d7bd6a65f2d33367127c9ac79fc4c1037f2b517ec9f60a3654e3089d61ab99070b42267ea97ec4687cf31e6a94746260d7e959a0856ce2b33f87dcd0d59b04293f94f5a69a90e40d6ce4fe93516f86b2fd1a385275e695e4da38e8659f561f4af9d16ec0aa845ba24536af781ccc72eaac9e059
7-27 20:00:00_女篮非洲杯C组小组赛_乌干达 vs 几内亚,http://one.loiey.top:55488/txsport/160009:127707/341780/1772407400.m3u8?txtoken=410d2cf7c7ef558e3e0b991836b6741f8206aa8eb948b1070f1df1568eb48c6a3b343305b9d81dd3b033facd3f1dded10c49e6adbcfd21c11cfa1c311685557f2bbb2a30995bf509671ca6c797febec781a3cbc9fc53d3cac44fac51b306cba42a09d39ac3c8d12d98615bd43692f17321d01cb8d08ae69fd50e76339e
咪视通-10,http://3501776.xyz:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
7-27 00:00:00_赛车_FE电动方程式世界锦标赛伦敦站第一回合正赛,http://one.loiey.top:55488/txsport/100002:20255195/341727/1387710100.m3u8?txtoken=ab4888c41dcd9c6d6cb23dff5fde3e100dc65a8ded72d9dddd77fcbb63f3affe15ecb74d3e7e94f02d5c4048781c5ff3bbaea33c6c3d8259c76c30b5910c1bb4339e2f3a57eaa20329a97ea485c048cdb329e35da8909febfadfbf4c0cde1ef5819f4f7cf0a75f60ebf556d0a1728fbc2609c5dd4dd928143c252276c0
